Y,Data,XAU,BGNL,BDIY,CRY,DXY,VIX,Cl1,XAU BGNL
0,01/01/2021,1582.2454569934134,2299.5116070323993,1717.5208817564032,181.17474438721433,85.61253003810084,22.636860379301105,118.32881689390618,1865.4945468177893
0,01/08/2021,1703.2751450236003,2956.1810949085866,1351.0165311746425,210.67339112494068,107.10372391566749,25.252603721540975,100.683111523843,1505.6754486216796
1,01/15/2021,1736.956872105943,2494.4526033654247,1694.4175101077449,258.6375766225893,105.78194490953602,37.23863441265564,129.55114239896028,1509.733828059463
0,01/22/2021,1701.2743448218398,2300.079117882903,3258.9637068357847,224.19339217759324,88.38116007548794,11.739275486866351,124.21475621934007,1494.9846304062628
0,01/29/2021,1881.8085321383894,2122.617772214582,1804.9129236254284,164.37842461813514,95.73949248489154,31.718778907749456,125.80634902903672,1114.7232519121007
1,02/05/2021,2163.585278959616,2724.649007788812,1649.5251081722124,176.6740677085969,81.61622677611673,13.56695375634246,71.846487891513,1111.286115316608
1,02/12/2021,1980.1373900433214,2867.9422719801305,2417.5933268979966,248.31011731293475,86.7928118628566,11.694171640683013,47.50443650362051,1996.693232991764
0,02/19/2021,1924.7498466937711,2321.5112695750277,1394.490153990034,156.29314443498615,98.29663679124208,22.65093968657133,90.99003065455967,1864.5254236674787
1,02/26/2021,1791.4602445572095,2102.1288966994257,2286.8573524316384,158.6051520916007,94.2448895890347,45.37112197550514,114.56699704505294,1960.8737102607301
1,03/05/2021,2048.73767288524,2771.0229920810416,2723.197326174539,189.6197719156239,81.02498476364153,27.321127204443506,76.83235283122792,1772.3732350982336
1,03/12/2021,1732.1804898495245,2894.997577927885,1872.9391298232886,231.29791077516794,80.01521690518051,36.32150382043642,127.54175614950715,1800.58096917467
0,03/19/2021,1977.0856921242048,2459.1323192526725,1751.6362686743928,169.4896336502595,99.86983957368935,33.94880150210501,46.17828764870635,1604.6701845610876
0,03/26/2021,1846.6813082139445,2404.5753935191824,3176.875406223917,199.93179135133536,87.8066724343467,22.01999466395189,98.71266905707125,1137.0616651020378
1,04/02/2021,1624.7635572954532,2329.3957406881646,3301.460849691834,244.8326727917647,81.07247463368805,49.18571808523552,77.75581518996958,1977.6660764816436
1,04/09/2021,1737.7608183941525,2672.8383290489337,2428.1203306816597,220.4077448919029,102.39666673502231,44.345308002639946,99.13273218774545,1682.1883002777154
1,04/16/2021,2018.132911194162,2731.4320410495757,3097.857304452741,219.47545844136897,80.22753543896216,14.991687146269097,115.87891527951163,1807.5930088437485
0,04/23/2021,1911.7659462911881,3019.960570719829,2469.0060409107573,183.54503647156545,96.95445450276661,24.114651140882163,76.13198073298526,1940.7246368838769
0,04/30/2021,1516.4873979918782,3082.6969110293476,1466.413866190745,207.91111772095783,108.3321529971854,33.11462988968245,64.39893987776942,1732.8075982067048
1,05/07/2021,1936.3037730503693,2284.782146782104,2536.54590550736,246.19498767410994,88.61842715505063,43.78413287493055,88.3426587196384,1278.2240687927083
1,05/14/2021,1677.4958617685877,2857.571907460936,1893.1056932043039,178.66825941093504,86.24714007320902,45.24130940200613,59.872608240777694,1988.6568248001627
1,05/21/2021,1931.098850761712,2406.378069815829,1994.574425892623,250.46451909213846,90.07435134345039,41.16199415228993,92.80074368145455,1584.603479204281
1,05/28/2021,2135.688371157479,2708.0295648819915,3433.9533130525024,235.3377691769426,83.77380200762936,35.43543673742047,95.50607905837721,1174.3966062638747
1,06/04/2021,2100.486846787745,2322.076706706573,2857.7496826793977,221.04670329160462,101.81212091851401,46.674097722423255,75.27325503018642,1462.6285486251168
1,06/11/2021,1577.455231998967,2390.1599935779304,3184.7601589164906,254.98783519156854,101.60910184687181,35.912549850951066,60.53286417426355,2019.312268159722
0,06/18/2021,1811.4708467383416,2832.826203323801,3278.1778028593108,254.04418844606266,97.7428313487231,16.666580183798743,48.34159107147972,1679.310948657364
1,06/25/2021,1559.3111786162817,3164.2868857198923,1530.0639096238908,197.09107019388745,88.42012857618447,48.62880347946436,75.01725688849325,1722.6003431331221
1,07/02/2021,2106.7794413289575,2200.0847098299355,1678.1917513337817,203.77597711206562,90.75341703177871,49.78639649755856,119.01171459025012,1650.0655490172296
